,player_name,firstname,surname,firstname_lower,surname_lower,firstname_upper,surname_upper
37,Anthony Knockaert,Anthony,Knockaert,anthony,knockaert,ANTHONY,KNOCKAERT
38,Antonee Robinson,Antonee,Robinson,antonee,robinson,ANTONEE,ROBINSON
39,Antonio Rüdiger,Antonio,Rüdiger,antonio,rüdiger,ANTONIO,RÜDIGER
40,Arthur Masuaku,Arthur,Masuaku,arthur,masuaku,ARTHUR,MASUAKU
41,Ayoze Pérez,Ayoze,Pérez,ayoze,pérez,AYOZE,PÉREZ
42,Bamidele Alli,Bamidele,Alli,bamidele,alli,BAMIDELE,ALLI
43,Barry Douglas,Barry,Douglas,barry,douglas,BARRY,DOUGLAS
44,Benjamin Chilwell,Benjamin,Chilwell,benjamin,chilwell,BENJAMIN,CHILWELL
45,Ben Davies,Ben,Davies,ben,davies,BEN,DAVIES
46,Ben Johnson,Ben,Johnson,ben,johnson,BEN,JOHNSON
47,Ben Osborn,Ben,Osborn,ben,osborn,BEN,OSBORN
48,Ben White,Ben,White,ben,white,BEN,WHITE
49,Bernardo Fernandes da Silva Junior,Bernardo,Fernandes,bernardo,fernandes,BERNARDO,FERNANDES
50,Bernard Anício Caldeira Duarte,Bernard,Anício,bernard,anício,BERNARD,ANÍCIO
51,Bernd Leno,Bernd,Leno,bernd,leno,BERND,LENO
52,Billy Gilmour,Billy,Gilmour,billy,gilmour,BILLY,GILMOUR
53,Billy Sharp,Billy,Sharp,billy,sharp,BILLY,SHARP
54,Bobby Decordova-Reid,Bobby,Decordova-Reid,bobby,decordova-reid,BOBBY,DECORDOVA-REID
55,Brandon Pierrick,Brandon,Pierrick,brandon,pierrick,BRANDON,PIERRICK
56,Bruno André Cavaco Jordao,Bruno,André,bruno,andré,BRUNO,ANDRÉ
57,Bukayo Saka,Bukayo,Saka,bukayo,saka,BUKAYO,SAKA
58,Callum Hudson-Odoi,Callum,Hudson-Odoi,callum,hudson-odoi,CALLUM,HUDSON-ODOI
